pc1-01	159.149.136.1
pc1-02	159.149.136.2
pc1-03	159.149.136.3
pc1-04	159.149.136.4
pc1-05	159.149.136.5
pc3-01	159.149.136.6
pc3-02	159.149.136.7
pc3-03	159.149.136.8
pc3-04	159.149.136.9
pc3-05	159.149.136.10
pcs1-01	159.149.136.11
pcs1-02	159.149.136.12
pcs1-03	159.149.136.13
pcs1-04	159.149.136.14
pcs2-01	159.149.136.15
pcs2-02	159.149.136.16
pcs2-03	159.149.136.17
pcs2-04	159.149.136.18
pcs3-01	159.149.136.19
pcs3-02	159.149.136.20
pcs3-03	159.149.136.21
pcs3-04	159.149.136.22
pcs4-01	159.149.136.23
pcs4-02	159.149.136.24
pcs4-03	159.149.136.25
pcs4-04	159.149.136.26
pcs5-01	159.149.136.27
pcs5-02	159.149.136.28
pcs5-03	159.149.136.29
pcs5-04	159.149.136.30
pcs6-01	159.149.136.31
pcs6-02	159.149.136.32
pcs6-03	159.149.136.33
pcs6-04	159.149.136.34
pcs7-01	159.149.136.35
pcs7-02	159.149.136.36
pcs7-03	159.149.136.37
pcs7-04	159.149.136.38
pcs8-01	159.149.136.39
pcs8-02	159.149.136.40
pcs8-03	159.149.136.41
pcs8-04	159.149.136.42
pcs9-01	159.149.136.43
pcs9-02	159.149.136.44
pcs9-03	159.149.136.45
pcs9-04	159.149.136.46
pcs10-01	159.149.136.47
pcs10-02	159.149.136.48
pcs10-03	159.149.136.49
pcs10-04	159.149.136.50
pcs11-01	159.149.136.51
pcs11-02	159.149.136.52
pcs11-03	159.149.136.53
pcs11-04	159.149.136.54
pcs12-01	159.149.136.55
pcs12-02	159.149.136.56
pcs12-03	159.149.136.57
pcs12-04	159.149.136.58
pcs13-01	159.149.136.59
pcs13-02	159.149.136.60
pcs13-03	159.149.136.61
pcs13-04	159.149.136.62
pcs14-01	159.149.136.63
pcs14-02	159.149.136.64
pcs14-03	159.149.136.65
pcs14-04	159.149.136.66
pcsc-01	159.149.136.67
pcsc-02	159.149.136.68
pc2-01	159.149.136.69
pc2-02	159.149.136.70
pc2-03	159.149.136.71
pc2-04	159.149.136.72
pc2-05	159.149.136.73
pc2-06	159.149.136.74
pco1-01	159.149.136.101
pco1-02	159.149.136.102
pco1-03	159.149.136.103
pco1-04	159.149.136.104
pco1-05	159.149.136.105
pco2-01	159.149.136.106
pco2-02	159.149.136.107
pco2-03	159.149.136.108
pco2-04	159.149.136.109
pco2-05	159.149.136.110
pco3-01	159.149.136.111
pco3-02	159.149.136.112
pco3-03	159.149.136.113
pco3-04	159.149.136.114
pco3-05	159.149.136.115
pco4-01	159.149.136.116
pco4-02	159.149.136.117
pco4-03	159.149.136.118
pco4-04	159.149.136.119
pco4-05	159.149.136.120
pco5-01	159.149.136.121
pco5-02	159.149.136.122
pco5-03	159.149.136.123
pco5-04	159.149.136.124
pco5-05	159.149.136.125
pco6-01	159.149.136.126
pco6-02	159.149.136.127
pco6-03	159.149.136.128
pco6-04	159.149.136.129
pco6-05	159.149.136.130
pcoc-01	159.149.136.131
pcoc-02	159.149.136.132
mickey	159.149.136.200
pctc-01	159.149.137.1
pctc-02	159.149.137.2
pct1-01	159.149.137.3
pct1-02	159.149.137.4
pct1-03	159.149.137.5
pct1-04	159.149.137.6
pct1-05	159.149.137.7
pct1-06	159.149.137.8
pct1-07	159.149.137.9
pct2-01	159.149.137.10
pct2-02	159.149.137.11
pct2-03	159.149.137.12
pct2-04	159.149.137.13
pct2-05	159.149.137.14
pct2-06	159.149.137.15
pct2-07	159.149.137.16
pct2-08	159.149.137.17
pct3-01	159.149.137.18
pct3-02	159.149.137.19
pct3-03	159.149.137.20
pct3-04	159.149.137.21
pct3-05	159.149.137.22
pct3-06	159.149.137.23
pct3-07	159.149.137.24
pct3-08	159.149.137.25
pct3-09	159.149.137.26
pct4-01	159.149.137.27
pct4-02	159.149.137.28
pct4-03	159.149.137.29
pct4-04	159.149.137.30
pct4-05	159.149.137.31
pct4-06	159.149.137.32
pct4-07	159.149.137.33
pct4-08	159.149.137.34
pct5-01	159.149.137.35
pct5-02	159.149.137.36
pct5-03	159.149.137.37
pct5-04	159.149.137.38
pct5-05	159.149.137.39
pct5-06	159.149.137.40
pct5-07	159.149.137.41
pct5-08	159.149.137.42
pct5-09	159.149.137.43
mac-01	159.149.137.61
mac-02	159.149.137.62
mac-03	159.149.137.63
mac-04	159.149.137.64
mac-05	159.149.137.65
mac-06	159.149.137.66
mac-07	159.149.137.67
mac-08	159.149.137.68
mac-09	159.149.137.69
mac-10	159.149.137.70
dott	159.149.137.75
pcdc-01	159.149.137.96
pcd1-01	159.149.137.97
pcd1-02	159.149.137.98
pcd1-03	159.149.137.99
pcd1-04	159.149.137.100
pcd2-01	159.149.137.101
pcd2-02	159.149.137.102
pcd2-03	159.149.137.103
pcd2-04	159.149.137.104
pcd3-01	159.149.137.105
pcd3-02	159.149.137.106
pcd3-03	159.149.137.107
pcd3-04	159.149.137.108
pcd4-01	159.149.137.109
pcd4-02	159.149.137.110
pcd4-03	159.149.137.111
pcd4-04	159.149.137.112
pcd5-01	159.149.137.113
pcd5-02	159.149.137.114
pcd5-03	159.149.137.115
pcd5-04	159.149.137.116
pcd6-01	159.149.137.117
pcd6-02	159.149.137.118
pcd6-03	159.149.137.119
stampino	159.149.137.200
stampino2	159.149.137.201
hp	159.149.137.204
hpnew	159.149.137.206
hpdelta	159.149.137.207
cam	159.149.137.220
delta	159.149.137.230
tftp	159.149.137.252
cloning	159.149.137.253
gw137	159.149.137.254
